,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
HARVARD-FRANKIE MATOS,3,0,4,2,0,0,2,0,0,0,0,0,0
HARVARD-JAMES DEVANEY,2,0,0,0,0,0,0,0,0,0,0,0,0
HARVARD-RYAN CHESTER,1,2,1,0,0,0,0,0,0,0,0,0,0
HARVARD-FELIX BULWA,1,2,0,0,0,0,1,0,0,0,0,0,0
TUFTS-HENRY BAER-BENSON,1,1,1,1,0,0,1,0,0,0,0,0,0
TUFTS-DONOVAN BRADY,1,0,0,1,0,0,0,0,0,0,0,0,0
TUFTS-JACOB BRENNER,1,0,0,0,0,0,0,0,0,0,0,0,0
TUFTS-JAKE ZASLAV,0,1,0,0,0,0,0,0,0,0,0,0,0
TUFTS-JOHN PARRISH,0,1,0,1,0,0,3,0,0,0,0,0,0
HARVARD-DANIEL GOTTESMAN,0,0,0,0,1,0,0,0,0,0,0,0,0
HARVARD-LEO FRIED,0,0,1,0,0,0,0,0,1,0,0,0,0
HARVARD-MICHAEL CHENEVEY,0,0,0,0,1,0,0,0,0,0,0,0,0
TUFTS-BROOKE SMILEY,0,0,0,0,1,0,0,0,0,0,0,0,0
TUFTS-EMMA WOLFE,0,0,0,0,1,1,0,0,0,0,0,0,0
TUFTS-JORDAN SMILEY,0,0,0,0,0,0,1,0,0,0,0,0,0
HARVARD-ANALUIZA NICOLAE,0,0,0,0,0,0,2,0,0,0,0,0,0
