,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
MIZZOU-RUTHIE POLIO,0,0,0,0,0,0,4,0,0,0,0,0,0
MIZZOU-DREW MATZES,0,1,0,0,0,0,3,0,0,0,0,0,0
UTSA-BROOK WILLET,0,1,0,0,0,1,2,0,0,0,0,0,0
MIZZOU-VINCENT WOOLSEY,1,0,0,0,0,0,1,0,0,0,0,0,0
MIZZOU-UNK,0,1,0,0,1,0,1,0,0,0,0,0,1
UTSA-4,0,0,0,0,0,1,1,0,0,0,0,0,1
UTSA-CHUCKY SEPULVEDA,0,0,0,0,0,1,1,0,0,0,0,0,1
MIZZOU-JACOB PARKER,6,1,0,0,1,2,0,0,0,0,0,0,0
UTSA-AUSTIN VILLEJO,4,2,0,0,0,1,0,0,0,0,0,0,0
MIZZOU-MIKE HOLIDAY,2,0,0,0,0,0,0,0,0,0,0,0,0
MIZZOU-2,0,0,0,0,0,0,0,0,0,0,0,0,1
MIZZOU-35,0,0,0,0,0,0,0,0,0,1,0,0,0
MIZZOU-54,0,0,0,0,1,0,0,0,0,0,0,0,0
MIZZOU-DAVID BECKER,0,0,2,0,0,0,0,0,0,0,0,0,0
MIZZOU-JUSTIN DEWICK,0,0,1,0,0,0,0,0,0,0,0,0,0
MIZZOU-MORGAN SMITH,0,0,1,0,0,0,0,0,0,0,0,0,0
UTSA-0,0,0,0,0,0,0,0,0,0,0,0,0,1
UTSA-DANIEL WILLIAMS,0,0,2,0,0,0,0,0,0,0,0,0,0
UTSA-DAVID KEIM,0,0,0,0,1,0,0,0,0,0,0,0,0
UTSA-JONATHAN GARCIA,0,0,1,0,0,0,0,0,0,1,0,0,0
UTSA-MIGUEL ESPARZA,0,1,0,0,1,0,0,0,0,0,0,0,0
UTSA-RENN LEBER,0,1,0,0,0,0,0,0,0,0,0,0,0
UTSA-TYLER ZREET,0,0,0,0,0,0,0,0,0,1,0,0,0
