,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
UMD-JOHN SHERIDAN,1,1,0,0,1,0,3,0,0,0,0,0,0
UVA-JULIA MARKS,1,0,0,0,0,0,3,0,0,0,0,0,0
UMD-MACK MORGAN,0,0,0,0,0,0,3,0,0,0,0,0,0
UVA-GATES YOUNG,3,2,0,0,0,0,1,0,0,0,0,0,0
UVA-BEN PHILLIPS,2,0,0,0,0,0,1,0,0,0,0,0,0
UMD-NOAH RINDOCK,1,0,0,0,0,0,1,0,0,0,0,0,0
UVA-FARAAZ SIDDIQUI,1,0,0,0,0,0,1,0,0,0,0,0,0
UMD-ABBY POTTER,0,0,0,0,0,0,1,0,0,0,0,0,0
UVA-ALEX GRIFFIN,0,0,0,0,0,0,1,0,0,0,0,0,0
UVA-CARLEE KLEPPIN,0,0,0,0,0,0,1,0,0,0,0,0,0
UMD-DALE FARNAN,6,1,0,0,0,1,0,0,0,0,0,0,0
UVA-DAVID LITTLETON,1,0,0,0,0,1,0,0,0,0,0,0,0
UMD-16,0,0,0,0,0,0,0,0,0,1,0,0,0
UMD-MELISSA SMITH,0,0,2,0,0,0,0,0,0,0,0,0,0
UMD-ZAIN BHAILA,0,0,0,0,0,0,0,0,0,1,0,0,0
UVA-HEATHER HOLMAN,0,0,0,0,0,0,0,0,0,0,0,0,1
UVA-LANE BURGESS,0,0,0,0,0,0,0,0,0,2,0,0,0
UVA-UNK,0,0,1,0,0,0,0,0,0,0,0,0,0
